"customer_name","market_type","order_count","total_revenue","overall_rank","rank_within_market"
Great Noodle Bar,restaurant,36,10615.97,1,1
Jade Palace,restaurant,32,9853.00,2,2
Jade Wok,restaurant,39,9354.10,3,3
Mission Supermarket,grocery,27,9234.33,4,1
Phoenix Hot Pot,restaurant,29,8704.80,5,4
Great Palace,restaurant,35,7555.05,6,5
Great Wok,restaurant,33,6832.55,7,6
Sunset Grocery,grocery,28,6661.86,8,2
Pacific Produce Distributors,wholesale,20,6079.68,9,1
Pacific Grocery,grocery,24,5952.39,10,3
Golden Kitchen,restaurant,29,5938.93,11,7
Bay Grocery,grocery,21,5918.05,12,4
South Bay Distribution,wholesale,21,5413.02,13,2
Lucky Kitchen,restaurant,16,5372.95,14,8
Asian Foods,grocery,21,5091.37,15,5
