"product_name","category","total_requested","total_confirmed","shortage","shortage_rate_pct","demand_rank","shortage_rank"
Snow Peas,legume,1806.48,1478.75,327.73,18.1,1,11
Burdock Root (Gobo),root,1674.29,1283.16,391.13,23.4,2,7
Choy Sum,leafy_green,1638.86,1260.45,378.41,23.1,3,8
Thai Eggplant,fruit_vegetable,1608.69,1214.16,394.53,24.5,4,6
Green Onions,herb,1592.46,1190.96,401.50,25.2,5,5
Thai Basil,herb,1592.41,1313.44,278.97,17.5,6,20
Soybean Sprouts,sprouts,1592.15,1256.51,335.64,21.1,7,10
Shiitake Mushrooms,mushroom,1553.80,1241.77,312.03,20.1,8,14
Water Spinach (Ong Choy),leafy_green,1521.08,1229.96,291.12,19.1,9,17
Yu Choy,leafy_green,1512.36,1058.58,453.78,30.0,10,2
Napa Cabbage,leafy_green,1503.20,1093.64,409.56,27.2,11,4
Chinese Eggplant,fruit_vegetable,1442.44,964.20,478.24,33.2,12,1
Gai Lan (Chinese Broccoli),leafy_green,1429.21,1164.09,265.12,18.6,13,23
Edamame,legume,1427.54,1134.08,293.46,20.6,14,16
Bok Choy,leafy_green,1418.66,1171.77,246.89,17.4,15,26
