order_item_id,order_id,product_id,requested_quantity,confirmed_quantity,unit_price,item_status
1,1001,1,14.00,14.00,18.00,Fulfilled
2,1001,2,10.00,8.00,22.00,Partial
3,1001,8,6.00,6.00,12.00,Fulfilled
4,1002,3,12.00,12.00,20.00,Fulfilled
5,1002,4,8.00,8.00,24.00,Fulfilled
6,1002,10,10.00,7.00,28.00,Partial
7,1003,5,20.00,18.00,16.00,Partial
8,1003,7,12.00,8.00,19.00,Partial
9,1004,2,10.00,10.00,22.00,Fulfilled
10,1004,12,8.00,8.00,19.00,Fulfilled
11,1004,9,10.00,10.00,10.00,Fulfilled
12,1005,1,15.00,15.00,18.00,Fulfilled
13,1005,6,10.00,10.00,21.00,Fulfilled
14,1005,11,6.00,4.00,30.00,Partial
15,1006,10,3.00,3.00,28.00,Fulfilled
16,1006,9,2.00,2.00,10.00,Fulfilled
17,1007,1,2.00,2.00,18.00,Fulfilled
18,1007,2,2.00,0.00,22.00,Unavailable
19,1007,8,1.00,1.00,12.00,Fulfilled
20,1008,5,4.00,4.00,16.00,Fulfilled
21,1008,10,2.00,2.00,28.00,Fulfilled
22,1008,12,2.00,2.00,19.00,Fulfilled
